,Fold,eta,alpha,Error_0_Layers,1_Layers,Error_1_Layers,2_Layers,Error_2_Layers
0,0,0.1,0.0,0.0072749215117956,[4],0.004717990272283,"[4, 2]",0.0609828095411795
1,0,0.1,0.8,3.4915616802613813e-06,[2],0.0449956206837702,"[2, 2]",0.0467309254671479
2,0,0.1,0.9,0.0120026373087203,[1],0.6967129985265142,"[1, 2]",0.0226882577835553
3,0,0.2,0.0,0.0068115518033773,[2],0.0046976377552834,"[2, 3]",0.0063584611266723
4,0,0.2,0.8,0.0001023870196041,[1],0.0718530749759192,"[1, 2]",0.0481565661638129
5,0,0.2,0.9,9.893057483321536e-05,[2],0.0480100617388172,"[2, 2]",0.016811784354052
6,0,0.3,0.0,0.0017945687215822,[3],0.0062984759446639,"[3, 4]",0.0118862008925746
7,0,0.3,0.8,0.0032858780579543,[3],0.0106302724922948,"[3, 2]",0.0056260708740037
8,0,0.3,0.9,3.636205159713113e-07,[5],0.0036361148740012,"[5, 4]",0.005365683761242
9,1,0.1,0.0,0.0101262205349492,[1],0.6946410192842535,"[1, 3]",0.007295548219937
10,1,0.1,0.8,0.0008610183264594,[3],0.7013777541147154,"[3, 3]",0.0578169987330457
11,1,0.1,0.9,0.0057464404353983,[4],0.0061019346337644,"[4, 3]",0.013765259594313
12,1,0.2,0.0,4.2986982326671366e-05,[2],0.0041299273961256,"[2, 3]",0.0081973097105109
13,1,0.2,0.8,0.0017543815619282,[3],0.0150413728809187,"[3, 3]",0.0249236747750595
14,1,0.2,0.9,2.1437584493102453e-08,[2],0.0058177328972593,"[2, 3]",0.0052940274141674
15,1,0.3,0.0,0.0020927345882404,[2],0.0873482973413761,"[2, 5]",0.0051802680435873
16,1,0.3,0.8,1.606571256485565e-06,[5],0.005693042548045,"[5, 2]",0.0026990596075401
17,1,0.3,0.9,0.000530345930413,[3],0.0056047365949451,"[3, 2]",0.0017874750645672
18,2,0.1,0.0,4.011281385776786e-06,[3],0.0061763393556662,"[3, 3]",0.0367622857537441
19,2,0.1,0.8,2.368492542804659e-07,[3],0.0041061795710016,"[3, 2]",0.0726830162072701
20,2,0.1,0.9,4.170781704770726e-06,[3],0.057032860948208,"[3, 3]",0.0162136167114812
21,2,0.2,0.0,1.466081871017103e-06,[3],0.0058526227677183,"[3, 4]",0.028989646381768
22,2,0.2,0.8,2.470282671449276e-06,[1],0.0808294703653222,"[1, 2]",0.0171499013346634
23,2,0.2,0.9,3.329902016010643e-06,[5],0.0087205339184872,"[5, 3]",0.0360536827876156
24,2,0.3,0.0,8.274758656399559e-11,[3],0.0063106440136277,"[3, 3]",0.023240633344598
25,2,0.3,0.8,1.338515656015177e-05,[3],0.0045730660794682,"[3, 2]",0.022364159848355
26,2,0.3,0.9,0.0016524362489366,[3],0.0049235719602505,"[3, 3]",0.0083627868356617
27,3,0.1,0.0,0.004791316595024,[2],0.6994610752715942,"[2, 3]",0.0172444770771479
28,3,0.1,0.8,3.728724044307628e-05,[4],0.0048248998916003,"[4, 2]",0.0260705286216342
29,3,0.1,0.9,0.0063148114631636,[3],0.0050727968090493,"[3, 2]",0.008754206429655
30,3,0.2,0.0,4.747726900680383e-07,[2],0.057725154297168,"[2, 1]",0.0078815280119117
31,3,0.2,0.8,9.457200233994124e-07,[2],0.0113641521636053,"[2, 4]",0.003804022355194
32,3,0.2,0.9,0.0033524952060375,[2],0.6955448884370872,"[2, 4]",0.0223912190461127
33,3,0.3,0.0,0.0007428473915785,[4],0.0087319766347948,"[4, 2]",0.013068415787378
34,3,0.3,0.8,0.0010780619264121,[6],0.0030118718582687,"[6, 2]",0.0051035415667484
35,3,0.3,0.9,0.0001204065975558,[4],0.0075351404403056,"[4, 3]",0.0166921228251087
36,4,0.1,0.0,4.449413231091206e-05,[4],0.0186937125213329,"[4, 2]",0.0385883773533547
37,4,0.1,0.8,0.0008276113497909,[3],0.0155486223351586,"[3, 2]",0.0270898554469144
38,4,0.1,0.9,0.0022065111782077,[3],0.0729202493148182,"[3, 1]",0.0079723121009932
39,4,0.2,0.0,6.986993890078081e-06,[3],0.0057720515035312,"[3, 2]",0.0435891756298764
40,4,0.2,0.8,0.0006462142477690862,[2],0.008679247493596968,"[2, 3]",0.030516102962185425
41,4,0.2,0.9,0.0014767662968443312,[4],0.014242448424833213,"[4, 4]",0.01742149066083353
42,4,0.3,0.0,0.00010755533240138078,[3],0.004559028551353161,"[3, 4]",0.0060133019469607646
43,4,0.3,0.8,5.566911843133443e-05,[2],0.034542264305112674,"[2, 4]",0.018622147570579815
44,4,0.3,0.9,4.3033714207555374e-05,[2],0.6936110458040043,"[2, 2]",0.010456713042844077
45,5,0.1,0.0,9.614541199964023e-07,[4],0.017067848950880968,"[4, 4]",0.010715069587066658
46,5,0.1,0.8,0.0005542648488889818,[3],0.008445034610925002,"[3, 2]",0.03941137627148385
47,5,0.1,0.9,0.0001522153703472455,[1],0.06389514653580018,"[1, 2]",0.02459075033383751
48,5,0.2,0.0,1.9175231177617157e-06,[3],0.006481804331830611,"[3, 3]",0.007838816188830292
49,5,0.2,0.8,3.9655362040896227e-07,[2],0.040161673134023135,"[2, 4]",0.02678447817379343
50,5,0.2,0.9,2.719504469475989e-07,[2],0.03285172228705477,"[2, 3]",0.004799852639482965
51,5,0.3,0.0,6.229534215997504e-08,[3],0.004642698918020955,"[3, 4]",0.005243739911918789
52,5,0.3,0.8,2.6119878823457578e-08,[2],0.008074130316080806,"[2, 2]",0.008205469534976457
53,5,0.3,0.9,2.1802978993443264e-08,[3],0.013933085051172288,"[3, 4]",0.003942414255021824
